County,Total_Deaths,Year,Diseases_of_Heart,Malignant_Neoplasms,Cerebrovascular_Diseases,Chronic_Lower_Respiratory_Diseases,Accidents,Alzheimers_Disease,Diabetes_Mellitus,Influenza_and_Pneumonia,Nephritis_Nephrotic_Syndrome_Nephrosis,Septicemia,Intentional_Self_Harm,Chronic_Liver_Disease_Cirrhosis,All_Other_Causes
Stephenson,512,2008,107,124,40,38,19,10,14,8,9,9,6,4,124
Tazewell,1353,2008,284,308,74,82,57,74,33,44,34,21,13,9,320
Union,222,2008,56,51,12,10,8,10,2,10,12,6,3,2,40
Vermilion,926,2008,226,212,49,93,44,14,26,18,12,16,8,4,204
Wabash,136,2008,32,34,7,9,7,6,0,1,2,2,1,2,33
Warren,209,2008,64,33,21,8,11,4,3,9,4,2,7,2,41
Washington,166,2008,46,38,14,7,12,2,5,3,4,5,3,2,25
Wayne,221,2008,65,41,17,24,8,1,1,12,5,4,2,3,38
White,207,2008,60,42,8,24,4,8,4,5,8,6,3,0,35
Whiteside,653,2008,177,141,45,46,31,16,23,21,13,5,6,6,123
Will,3820,2008,967,979,192,192,169,88,109,85,86,70,47,53,783
Williamson,758,2008,189,154,44,65,36,31,16,17,33,16,13,8,136
Winnebago,2644,2008,618,655,149,152,142,67,49,45,67,29,25,39,607
Woodford,344,2008,85,57,23,22,15,19,8,9,4,0,3,4,95
